NTD ID,Legacy NTD ID,Agency,Mode/Type of Service Status,Reporter Type,UACE CD,UZA Name,Mode,TOS,3 Mode,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
00001,0001,King County,Active,Full Reporter,80389,"Seattle--Tacoma, WA",DR,PT,Bus,"8,686,723 ","9,142,784 ","10,031,443 ","10,015,663 ","10,045,410 ","10,229,106 ","9,173,857 ","9,974,975 ","9,766,933 ","10,035,714 ","9,758,968 ","9,669,958 ","8,675,204 ","6,705,641 ","7,934,196 ","7,802,103 ","8,335,875 ","8,511,613 ","3,913,186 ","4,022,799 ","4,968,632 ","6,710,756 ","7,835,166 ","7,960,962 ","1,903,590 "
00001,0001,King County,Active,Full Reporter,80389,"Seattle--Tacoma, WA",DR,TX,Bus,,,,,,,,,"525,984 ","494,207 ","488,615 ","650,286 ","805,693 ","1,257,248 ","1,336,929 ","1,411,445 ","1,675,832 ","2,052,404 ","905,250 ","934,957 ","1,461,592 ","1,377,744 ","1,293,595 ","1,686,789 ","566,457 "
00001,0001,King County,Active,Full Reporter,80389,"Seattle--Tacoma, WA",FB,DO,Ferry,,,,,,,,,,,,,,,"51,704 ","48,762 ","49,706 ","52,362 ","35,948 ","49,606 ","51,236 ","52,310 ","63,622 ","76,904 ","19,972 "
00001,0001,King County,Inactive,Full Reporter,80389,"Seattle--Tacoma, WA",LR,DO,Rail,"39,630 ","43,005 ","44,994 ","38,893 ",0 ,,"56,904 ","60,150 ","59,964 ","61,727 ",,,,,,,,,,,,,,,
00001,0001,King County,Active,Full Reporter,80389,"Seattle--Tacoma, WA",MB,DO,Bus,"32,727,985 ","34,687,688 ","35,777,097 ","37,684,874 ","30,842,440 ","31,161,751 ","31,998,819 ","31,792,781 ","31,379,263 ","32,078,161 ","32,344,205 ","32,050,650 ","31,463,965 ","31,651,853 ","32,450,352 ","32,853,414 ","33,894,208 ","35,407,340 ","30,870,826 ","30,859,322 ","29,908,625 ","29,575,605 ","30,848,533 ","31,992,394 ","7,421,310 "
00001,0001,King County,Active,Full Reporter,80389,"Seattle--Tacoma, WA",MB,PT,Bus,,,,,,,"789,529 ","831,493 ","912,641 ","880,377 ","1,036,158 ","1,078,820 ","1,182,138 ","1,068,355 ","1,141,070 ","964,917 ","970,734 ","1,058,834 ","779,440 ","994,051 ","907,697 ","983,035 ","1,163,529 ","1,388,679 ","369,126 "
00001,0001,King County,Active,Full Reporter,80389,"Seattle--Tacoma, WA",SR,DO,Rail,,,,,,,,,,,"62,222 ","63,268 ","61,521 ","59,960 ","191,472 ","193,810 ","207,850 ","205,470 ","147,792 ","187,454 ","180,369 ","177,754 ","174,111 ","182,839 ","48,746 "
00001,0001,King County,Active,Full Reporter,80389,"Seattle--Tacoma, WA",TB,DO,Bus,"3,691,589 ","3,661,854 ","3,353,601 ","3,523,420 ","3,105,177 ","2,844,375 ","2,862,955 ","2,786,392 ","2,903,719 ","2,907,198 ","2,728,642 ","2,845,186 ","2,837,821 ","2,815,356 ","3,063,846 ","3,130,521 ","3,086,246 ","2,607,942 ","2,375,110 ","2,685,561 ","2,635,705 ","2,575,445 ","2,370,600 ","2,165,998 ","534,166 "
00001,0001,King County,Active,Full Reporter,80389,"Seattle--Tacoma, WA",VP,DO,Bus,"10,013,244 ","9,618,704 ","8,643,307 ","9,294,635 ","9,913,484 ","10,591,416 ","11,430,028 ","11,802,533 ","11,368,165 ","12,546,348 ","13,884,797 ","14,032,113 ","14,498,634 ","14,693,549 ","14,879,324 ","15,199,378 ","15,043,713 ","14,648,137 ","5,295,537 ","3,264,549 ","4,413,910 ","6,705,162 ","7,898,463 ","8,637,185 ","1,951,383 "
00002,0002,Spokane Transit Authority,Active,Full Reporter,83764,"Spokane, WA",DR,DO,Bus,"1,343,707 ","1,390,159 ","1,331,383 ","1,229,340 ","1,259,257 ","1,305,017 ","1,337,251 ","1,307,371 ","1,213,471 ","1,228,851 ","1,272,186 ","1,214,951 ","1,186,434 ","1,189,206 ","1,138,893 ","1,198,630 ","1,293,811 ","1,249,424 ","885,171 ","1,066,946 ","1,073,683 ","1,217,504 ","1,252,409 ","1,296,553 ","323,873 "
00002,0002,Spokane Transit Authority,Active,Full Reporter,83764,"Spokane, WA",DR,PT,Bus,"1,009,316 ","1,044,400 ","1,071,311 ","1,104,020 ","1,270,932 ","1,368,924 ","1,387,036 ","1,376,990 ","1,380,530 ","1,276,779 ","1,260,721 ","1,302,795 ","1,275,569 ","1,303,096 ","1,376,561 ","1,339,852 ","1,184,977 ","1,144,223 ","655,892 ","768,789 ","945,068 ","1,099,149 ","1,232,917 ","1,209,507 ","291,395 "
00002,0002,Spokane Transit Authority,Active,Full Reporter,83764,"Spokane, WA",MB,DO,Bus,"4,777,633 ","4,813,329 ","4,863,417 ","5,039,551 ","5,599,353 ","5,620,947 ","5,746,741 ","5,811,387 ","5,801,678 ","5,570,475 ","5,313,529 ","5,334,754 ","5,446,828 ","5,480,629 ","5,477,713 ","5,590,733 ","5,850,424 ","6,118,526 ","6,170,085 ","6,210,759 ","6,485,325 ","6,824,002 ","7,146,245 ","7,403,636 ","1,849,823 "
00002,0002,Spokane Transit Authority,Active,Full Reporter,83764,"Spokane, WA",VP,DO,Bus,"339,651 ","354,676 ","400,354 ","540,353 ","610,870 ","676,564 ","917,404 ","900,222 ","935,173 ","1,029,533 ","1,189,701 ","1,126,343 ","1,174,536 ","1,114,100 ","1,058,496 ","975,974 ","948,679 ","929,850 ","674,189 ","636,288 ","905,990 ","1,016,131 ","1,096,062 ","1,165,805 ","303,509 "
00003,0003,Pierce County Transportation Benefit Area Authority,Active,Full Reporter,80389,"Seattle--Tacoma, WA",DR,DO,Bus,"931,690 ","886,633 ","867,441 ","866,064 ","872,486 ","836,080 ","757,825 ","759,563 ","751,373 ","707,971 ","594,250 ","627,319 ","629,816 ","612,036 ","648,133 ","611,807 ","570,600 ","505,823 ","228,735 ","191,376 ","279,427 ","287,743 ","253,977 ","160,768 ","36,112 "
00003,0003,Pierce County Transportation Benefit Area Authority,Active,Full Reporter,80389,"Seattle--Tacoma, WA",DR,PT,Bus,"2,146,532 ","2,197,120 ","2,240,261 ","2,184,166 ","2,498,409 ","2,659,062 ","2,253,065 ","2,300,084 ","2,267,502 ","2,228,386 ","1,917,914 ","1,705,954 ","1,732,870 ","1,724,342 ","1,616,578 ","1,528,147 ","1,471,275 ","1,507,732 ","955,755 ","1,176,460 ","1,438,251 ","1,807,533 ","2,428,510 ","2,791,308 ","742,068 "
00003,0003,Pierce County Transportation Benefit Area Authority,Active,Full Reporter,80389,"Seattle--Tacoma, WA",MB,DO,Bus,"9,122,328 ","9,781,817 ","9,921,970 ","6,890,034 ","7,082,090 ","7,229,984 ","7,481,481 ","7,258,577 ","6,958,268 ","5,505,120 ","4,366,502 ","4,287,953 ","4,401,267 ","4,411,207 ","4,534,746 ","4,903,678 ","5,002,372 ","5,019,818 ","4,271,293 ","4,558,354 ","4,227,441 ","4,371,847 ","4,524,583 ","4,716,393 ","1,174,643 "
00003,0003,Pierce County Transportation Benefit Area Authority,Active,Full Reporter,80389,"Seattle--Tacoma, WA",VP,DO,Bus,"3,220,535 ","3,438,381 ","3,748,563 ","3,868,965 ","4,178,168 ","4,113,366 ","4,276,611 ","4,476,756 ","4,559,572 ","4,669,006 ","4,718,159 ","4,869,744 ","4,708,917 ","4,580,153 ","4,707,552 ","4,771,217 ","4,729,543 ","4,529,043 ","3,015,970 ","2,583,536 ","3,028,154 ","3,421,086 ","3,206,018 ","3,509,334 ","878,217 "
00005,0005,City of Everett,Active,Full Reporter,80389,"Seattle--Tacoma, WA",DR,DO,Bus,"254,880 ","326,060 ","420,701 ","387,077 ","354,790 ","495,980 ","524,124 ","506,444 ","518,059 ","567,963 ","530,196 ","562,334 ","548,542 ","557,712 ","563,880 ","561,171 ","571,223 ","561,821 ","297,836 ","296,098 ","330,335 ","366,516 ","412,193 ","436,245 ","109,897 "
00005,0005,City of Everett,Active,Full Reporter,80389,"Seattle--Tacoma, WA",MB,DO,Bus,"1,112,377 ","1,047,643 ","941,400 ","1,093,722 ","1,264,699 ","1,326,578 ","1,377,909 ","1,455,668 ","1,598,397 ","1,444,595 ","1,359,451 ","1,197,310 ","1,185,612 ","1,197,832 ","1,239,254 ","1,265,710 ","1,270,213 ","1,195,418 ","890,830 ","991,608 ","1,115,803 ","1,195,863 ","1,274,180 ","1,288,630 ","323,368 "
00006,0006,City of Yakima,Active,Full Reporter,97507,"Yakima, WA",CB,PT,Bus,,,,,,,,,,,,,"75,641 ","144,364 ","140,974 ","144,112 ","155,997 ","147,959 ","142,749 ","137,661 ","146,393 ","148,663 ","144,142 ","148,556 ","35,702 "
