Top 150,NTD ID,Agency,Mode,TOS,Month,Year,Estimated VRM
N,00006,City of Yakima,CB,PT,3/2026,2026,"12,792 "
N,00006,City of Yakima,DR,PT,3/2026,2026,"23,333 "
N,00006,City of Yakima,MB,DO,3/2026,2026,"59,021 "
Y,00040,Central Puget Sound Regional Transit Authority,CB,DO,3/2026,2026,"702,745 "
N,00415,Ada County Highway District,VP,DO,3/2026,2026,"109,008 "
Y,10004,Brockton Area Transit Authority,DR,PT,3/2026,2026,"48,842 "
Y,10004,Brockton Area Transit Authority,MB,PT,3/2026,2026,"116,858 "
N,10016,Greater Portland Transit District,MB,DO,3/2026,2026,"157,503 "
Y,10102,Connecticut Department of Transportation,CB,PT,3/2026,2026,"74,218 "
Y,10102,Connecticut Department of Transportation,CR,PT,3/2026,2026,"101,922 "
N,11239,"Hyannis Harbor Tours, Inc. ",FB,DO,3/2026,2026,"9,275 "
Y,20080,New Jersey Transit Corporation,CR,DO,3/2026,2026,"4,331,747 "
Y,20080,New Jersey Transit Corporation,LR,DO,3/2026,2026,"45,909 "
Y,20080,New Jersey Transit Corporation,LR,PT,3/2026,2026,"182,628 "
Y,20080,New Jersey Transit Corporation,MB,DO,3/2026,2026,"6,957,650 "
Y,20080,New Jersey Transit Corporation,MB,PT,3/2026,2026,"383,662 "
Y,20080,New Jersey Transit Corporation,YR,DO,3/2026,2026,"76,639 "
Y,20098,Port Authority Trans-Hudson Corporation,HR,DO,3/2026,2026,"1,090,359 "
N,20199,County of Atlantic,DR,DO,3/2026,2026,"26,338 "
N,20199,County of Atlantic,MB,PT,3/2026,2026,"8,276 "
N,20209,Somerset County,DR,DO,3/2026,2026,"44,566 "
N,20209,Somerset County,MB,DO,3/2026,2026,"19,790 "
N,20217,"Hampton Jitney, Inc.",CB,DO,3/2026,2026,"190,421 "
N,30015,Luzerne County Transportation Authority,MB,DO,3/2026,2026,"97,569 "
Y,30022,Pittsburgh Regional Transit,DR,PT,3/2026,2026,"534,121 "
Y,30022,Pittsburgh Regional Transit,IP,DO,3/2026,2026,"1,811 "
Y,30022,Pittsburgh Regional Transit,LR,DO,3/2026,2026,"132,262 "
Y,30022,Pittsburgh Regional Transit,MB,DO,3/2026,2026,"1,620,960 "
Y,30034,Maryland Transit Administration,DR,TX,3/2026,2026,"1,225,544 "
Y,30034,Maryland Transit Administration,LR,DO,3/2026,2026,"233,111 "
N,30044,Westmoreland County Transit Authority,DR,DO,3/2026,2026,"142,635 "
N,30044,Westmoreland County Transit Authority,MB,DO,3/2026,2026,"84,826 "
N,30058,City of Fairfax,MB,DO,3/2026,2026,"40,710 "
N,30080,"Arlington County, Virginia",DR,PT,3/2026,2026,"25,392 "
N,30080,"Arlington County, Virginia",MB,PT,3/2026,2026,"157,598 "
N,30085,"Prince George's County, Maryland",DR,DO,3/2026,2026,"35,287 "
N,30085,"Prince George's County, Maryland",DR,TN,3/2026,2026,"1,325 "
N,30106,National Capital Region Transportation Planning Board,VP,PT,3/2026,2026,"150,753 "
N,30129,Anne Arundel County,DR,PT,3/2026,2026,"58,083 "
N,30129,Anne Arundel County,MB,PT,3/2026,2026,"72,126 "
N,30205,"Transit Management of Central Maryland, Inc.",MB,DO,3/2026,2026,"139,611 "
Y,40004,Metropolitan Transit Authority,DR,TX,3/2026,2026,"114,203 "
N,40019,Transit Authority of Northern Kentucky,DR,DO,3/2026,2026,"38,767 "
N,40019,Transit Authority of Northern Kentucky,MB,DO,3/2026,2026,"223,827 "
N,40021,City of Albany ,MB,DO,3/2026,2026,"34,794 "
N,40025,Chatham Area Transit Authority,DR,DO,3/2026,2026,"67,027 "
N,40025,Chatham Area Transit Authority,FB,DO,3/2026,2026,"1,295 "
N,40025,Chatham Area Transit Authority,MB,DO,3/2026,2026,"116,563 "
N,40036,City of Tallahassee,DR,DO,3/2026,2026,"10,458 "
N,40036,City of Tallahassee,DR,PT,3/2026,2026,"13,806 "
N,40057,Jackson Transit Authority,DR,DO,3/2026,2026,"17,208 "
N,40057,Jackson Transit Authority,MB,DO,3/2026,2026,"27,673 "
Y,40086,Metropolitan Bus Authority,DR,DO,3/2026,2026,"56,508 "
Y,40086,Metropolitan Bus Authority,MB,DO,3/2026,2026,"218,770 "
N,40100,Santee Wateree Regional Transportation Authority,CB,DO,3/2026,2026,"5,038 "
N,40100,Santee Wateree Regional Transportation Authority,DR,DO,3/2026,2026,"38,780 "
N,40100,Santee Wateree Regional Transportation Authority,MB,DO,3/2026,2026,"29,129 "
N,40102,Waccamaw Regional Transportation Authority,DR,DO,3/2026,2026,"40,271 "
N,40102,Waccamaw Regional Transportation Authority,MB,DO,3/2026,2026,"103,183 "
N,40102,Waccamaw Regional Transportation Authority,VP,PT,3/2026,2026,"9,754 "
N,40105,Puerto Rico Highway and Transportation Authority ,PB,PT,3/2026,2026,"474,958 "
N,40208,City of Clemson,MB,DO,3/2026,2026,"51,523 "
N,40222,Wake County,DR,PT,3/2026,2026,"91,797 "
N,40271,"Florida Department of Transportation, District 1 Office",VP,PT,3/2026,2026,"46,079 "
Y,50005,City of Madison,DR,TX,3/2026,2026,"59,370 "
Y,50005,City of Madison,MB,DO,3/2026,2026,"414,970 "
Y,50005,City of Madison,RB,DO,3/2026,2026,"71,554 "
N,50039,Saginaw Transit Authority Regional Service,DR,DO,3/2026,2026,"42,138 "
N,50039,Saginaw Transit Authority Regional Service,MB,DO,3/2026,2026,"77,394 "
N,50053,City of Terre Haute ,DR,DO,3/2026,2026,"6,481 "
N,50053,City of Terre Haute ,MB,DO,3/2026,2026,"34,526 "
N,50056,Greater Peoria Mass Transit District,MB,DO,3/2026,2026,"204,713 "
N,50061,"City of Decatur, Il",MB,PT,3/2026,2026,"102,743 "
N,50099,City of Eau Claire,DR,PT,3/2026,2026,"28,944 "
N,50099,City of Eau Claire,MB,DO,3/2026,2026,"63,449 "
N,50110,Bloomington Public Transportation Corporation,DR,DO,3/2026,2026,"8,765 "
N,50110,Bloomington Public Transportation Corporation,MB,DO,3/2026,2026,"98,434 "
Y,50119,City of Detroit ,DR,PT,3/2026,2026,"373,110 "
N,50515,University of Minnesota,MB,PT,3/2026,2026,"57,073 "
N,55311,City of Cincinnati,SR,PT,3/2026,2026,"7,102 "
Y,60011,VIA Metropolitan Transit,DR,PT,3/2026,2026,"788,709 "
Y,60011,VIA Metropolitan Transit,DR,TX,3/2026,2026,"29,714 "
N,60022,Capital Area Transit System,DR,PT,3/2026,2026,"91,719 "
N,60022,Capital Area Transit System,MB,DO,3/2026,2026,"226,876 "
Y,60032,New Orleans Regional Transit Authority,DR,DO,3/2026,2026,"86,174 "
N,60038,Lafayette City-Parish Consolidated Government,DR,PT,3/2026,2026,"46,787 "
N,60038,Lafayette City-Parish Consolidated Government,MB,DO,3/2026,2026,"60,389 "
