name,year,dist_ly,mass_e,method,facility
Kepler-6 b,2009,1914.7,212.3,Transit,Kepler
Kepler-491 b,2016,2057.3,,Transit,Kepler
Kepler-257 b,2014,2544.9,,Transit,Kepler
Kepler-216 b,2014,3873.0,,Transit,Kepler
Kepler-32 c,2011,1056.2,1.3,Transit,Kepler
Kepler-259 c,2014,3268.5,,Transit,Kepler
Kepler-148 c,2014,2580.4,,Transit,Kepler
Kepler-222 d,2014,2475.0,,Transit,Kepler
Kepler-29 c,2011,2715.4,4.0,Transit,Kepler
Kepler-179 b,2014,1975.5,,Transit,Kepler
Kepler-165 c,2014,1829.4,,Transit,Kepler
Kepler-228 c,2014,5364.0,,Transit,Kepler
Kepler-20 c,2011,921.6,11.1,Transit,Kepler
Kepler-166 d,2016,1968.4,,Transit,Kepler
Kepler-52 b,2012,1048.7,79.6,Transit,Kepler
Kepler-197 d,2014,1078.2,,Transit,Kepler
K2-183 d,2018,1073.2,,Transit,K2
K2-187 e,2018,1079.3,,Transit,K2
K2-187 c,2018,1079.3,,Transit,K2
K2-270 b,2018,914.9,,Transit,K2
Kepler-184 d,2014,1990.6,,Transit,Kepler
Kepler-257 d,2014,2544.9,,Transit,Kepler
K2-280 b,2018,1277.0,37.1,Transit,K2
K2-381 c,2022,475.2,,Transit,K2
Kepler-222 c,2014,2475.0,,Transit,Kepler
HATS-36 b,2018,2793.3,1022.1,Transit,HATSouth
Kepler-229 b,2014,2694.9,,Transit,Kepler
K2-222 b,2018,330.5,8.7,Transit,K2
K2-214 b,2018,980.6,,Transit,K2
K2-220 b,2018,761.6,,Transit,K2
K2-216 b,2018,376.6,8.0,Transit,K2
K2-212 b,2018,356.2,,Transit,K2
Kepler-166 c,2014,1968.4,,Transit,Kepler
K2-151 b,2018,226.6,,Transit,K2
K2-295 b,2018,759.3,106.5,Transit,K2
K2-282 b,2018,1618.7,,Transit,K2
K2-283 b,2018,1314.1,,Transit,K2
K2-281 b,2018,1494.2,,Transit,K2
K2-387 b,2022,868.6,,Transit,K2
Kepler-197 b,2014,1078.2,,Transit,Kepler
K2-156 b,2018,489.9,,Transit,K2
K2-157 b,2018,973.2,1.1,Transit,K2
K2-158 b,2018,643.5,,Transit,K2
K2-244 b,2018,694.4,,Transit,K2
Kepler-108 c,2014,1104.8,,Transit,Kepler
K2-159 b,2018,557.7,,Transit,K2
K2-160 b,2018,1028.6,,Transit,K2
K2-161 b,2018,2988.6,,Transit,K2
K2-162 b,2018,405.8,,Transit,K2
K2-163 b,2018,680.1,,Transit,K2
K2-165 b,2018,439.0,,Transit,K2
K2-165 c,2018,439.0,,Transit,K2
K2-165 d,2018,439.0,,Transit,K2
Kepler-108 b,2014,1104.8,,Transit,Kepler
EPIC 201595106 b,2021,757.0,7.7,Transit,K2
K2-166 b,2018,1555.4,,Transit,K2
K2-175 b,2018,806.5,,Transit,K2
K2-176 b,2018,806.6,,Transit,K2
K2-177 b,2018,1605.2,,Transit,K2
K2-178 b,2018,700.4,,Transit,K2
Kepler-9 d,2010,2049.1,,Transit,Kepler
K2-183 b,2018,1073.2,,Transit,K2
K2-185 b,2018,875.3,,Transit,K2
K2-185 c,2018,875.3,,Transit,K2
K2-263 b,2018,529.9,15.4,Transit,K2
K2-186 b,2018,1078.7,,Transit,K2
K2-341 b,2021,1374.4,,Transit,K2
K2-187 b,2018,1079.3,,Transit,K2
K2-188 b,2018,1457.3,,Transit,K2
K2-189 b,2018,789.7,,Transit,K2
K2-190 c,2018,524.1,,Transit,K2
K2-195 c,2018,1027.4,,Transit,K2
K2-196 b,2018,1907.6,,Transit,K2
Kepler-42 b,2011,130.7,0.7,Transit,Kepler
K2-201 b,2018,645.6,,Transit,K2
K2-201 c,2018,645.6,,Transit,K2
K2-202 b,2018,979.8,,Transit,K2
K2-381 b,2022,475.2,,Transit,K2
K2-381 d,2022,475.2,,Transit,K2
K2-382 b,2022,908.1,,Transit,K2
K2-383 b,2022,664.7,,Transit,K2
K2-203 b,2018,541.9,,Transit,K2
K2-204 b,2018,1882.7,,Transit,K2
K2-205 b,2018,1321.9,,Transit,K2
K2-206 b,2018,797.3,,Transit,K2
K2-207 b,2018,1184.2,,Transit,K2
K2-208 b,2018,837.9,,Transit,K2
K2-209 b,2018,249.5,,Transit,K2
K2-210 b,2018,575.7,,Transit,K2
K2-211 b,2018,888.1,,Transit,K2
K2-213 b,2018,1271.0,,Transit,K2
K2-215 b,2018,1317.6,,Transit,K2
K2-217 b,2018,1245.5,,Transit,K2
K2-218 b,2018,1285.3,,Transit,K2
K2-219 b,2018,1061.3,,Transit,K2
K2-219 c,2018,1061.3,,Transit,K2
K2-219 d,2018,1061.3,,Transit,K2
K2-221 b,2018,1039.8,,Transit,K2
